position,matchday,team,wins,draws,losses,goals_for,goals_against,goal_difference,points
15,4,FC Hermannstadt,0,2,2,2,5,-3,2
16,4,FCSB,0,2,2,3,6,-3,2
1,5,Univ. Craiova,3,2,0,8,3,5,11
2,5,Otelul Galati,3,2,0,7,3,4,11
3,5,'U' Cluj,2,3,0,7,4,3,9
4,5,Dinamo Bucuresti,2,2,1,13,8,5,8
5,5,Sepsi Sf. Gheorghe,2,2,1,7,6,1,8
6,5,CFR Cluj,2,1,2,10,9,1,7
7,5,FC Botosani,2,0,3,5,6,-1,6
8,5,UTA Arad,1,3,1,5,6,-1,6
9,5,Petrolul Ploiesti,1,3,1,2,4,-2,6
10,5,FC Hermannstadt,1,2,2,4,6,-2,5
11,5,FCSB,1,2,2,6,8,-2,5
12,5,Gloria Buzau,1,2,2,5,8,-3,5
13,5,Unirea Slobozia,1,2,2,4,7,-3,5
14,5,Farul Constanta,1,1,3,4,5,-1,4
15,5,Rapid Bucuresti,0,4,1,6,7,-1,4
16,5,Poli Iasi,1,1,3,4,7,-3,4
1,6,Univ. Craiova,4,2,0,13,4,9,14
2,6,'U' Cluj,3,3,0,10,4,6,12
3,6,Otelul Galati,3,2,1,7,4,3,11
4,6,CFR Cluj,3,1,2,11,9,2,10
5,6,Dinamo Bucuresti,2,3,1,14,9,5,9
6,6,FC Botosani,3,0,3,6,6,0,9
7,6,Petrolul Ploiesti,2,3,1,4,5,-1,9
8,6,Sepsi Sf. Gheorghe,2,2,2,7,9,-2,8
9,6,Farul Constanta,2,1,3,7,7,0,7
10,6,Poli Iasi,2,1,3,5,7,-2,7
11,6,UTA Arad,1,3,2,5,7,-2,6
12,6,Rapid Bucuresti,0,5,1,7,8,-1,5
13,6,FC Hermannstadt,1,2,3,6,9,-3,5
14,6,FCSB,1,2,3,6,9,-3,5
15,6,Unirea Slobozia,1,2,3,5,9,-4,5
16,6,Gloria Buzau,1,2,3,6,13,-7,5
1,7,'U' Cluj,4,3,0,12,4,8,15
2,7,Univ. Craiova,4,2,1,14,6,8,14
3,7,CFR Cluj,4,1,2,14,9,5,13
4,7,Dinamo Bucuresti,3,3,1,16,10,6,12
5,7,Otelul Galati,3,3,1,7,4,3,12
6,7,Petrolul Ploiesti,2,4,1,4,5,-1,10
7,7,FC Botosani,3,0,4,6,9,-3,9
8,7,Farul Constanta,2,2,3,8,8,0,8
9,7,Rapid Bucuresti,1,5,1,9,9,0,8
10,7,FC Hermannstadt,2,2,3,8,9,-1,8
11,7,Sepsi Sf. Gheorghe,2,2,3,7,10,-3,8
12,7,Unirea Slobozia,2,2,3,6,9,-3,8
13,7,UTA Arad,1,4,2,6,8,-2,7
14,7,Poli Iasi,2,1,4,6,9,-3,7
15,7,FCSB,1,2,4,6,11,-5,5
16,7,Gloria Buzau,1,2,4,6,15,-9,5
1,8,'U' Cluj,5,3,0,13,4,9,18
2,8,CFR Cluj,5,1,2,17,9,8,16
3,8,Univ. Craiova,4,3,1,15,7,8,15
4,8,Otelul Galati,4,3,1,9,4,5,15
5,8,Petrolul Ploiesti,3,4,1,6,5,1,13
6,8,Dinamo Bucuresti,3,3,2,16,11,5,12
7,8,FC Hermannstadt,3,2,3,14,11,3,11
8,8,Unirea Slobozia,3,2,3,8,10,-2,11
9,8,Rapid Bucuresti,1,6,1,10,10,0,9
10,8,FC Botosani,3,0,5,6,11,-5,9
11,8,FCSB,2,2,4,8,11,-3,8
12,8,Farul Constanta,2,2,4,8,11,-3,8
13,8,Sepsi Sf. Gheorghe,2,2,4,7,12,-5,8
14,8,UTA Arad,1,4,3,6,10,-4,7
15,8,Poli Iasi,2,1,5,8,15,-7,7
16,8,Gloria Buzau,1,2,5,7,17,-10,5
1,9,'U' Cluj,6,3,0,15,4,11,21
2,9,CFR Cluj,5,2,2,19,11,8,17
3,9,Otelul Galati,4,4,1,9,4,5,16
4,9,Dinamo Bucuresti,4,3,2,17,11,6,15
5,9,Univ. Craiova,4,3,2,15,9,6,15
6,9,Petrolul Ploiesti,3,5,1,7,6,1,14
7,9,FC Hermannstadt,3,3,3,15,12,3,12
8,9,Sepsi Sf. Gheorghe,3,2,4,10,12,-2,11
9,9,Unirea Slobozia,3,2,4,8,11,-3,11
10,9,Poli Iasi,3,1,5,10,15,-5,10
11,9,Rapid Bucuresti,1,6,2,10,12,-2,9
12,9,FCSB,2,3,4,10,13,-3,9
13,9,Farul Constanta,2,3,4,9,12,-3,9
14,9,FC Botosani,3,0,6,6,14,-8,9
15,9,UTA Arad,1,5,3,7,11,-4,8
16,9,Gloria Buzau,1,3,5,7,17,-10,6
1,10,'U' Cluj,6,4,0,16,5,11,22
2,10,CFR Cluj,5,3,2,19,11,8,18
3,10,Otelul Galati,4,5,1,10,5,5,17
4,10,Dinamo Bucuresti,4,4,2,18,12,6,16
5,10,Univ. Craiova,4,4,2,16,10,6,16
6,10,Petrolul Ploiesti,3,6,1,8,7,1,15
7,10,FC Hermannstadt,3,4,3,15,12,3,13
8,10,Rapid Bucuresti,2,6,2,12,13,-1,12
9,10,Farul Constanta,3,3,4,11,13,-2,12
10,10,Sepsi Sf. Gheorghe,3,2,5,11,14,-3,11
11,10,Unirea Slobozia,3,2,5,9,13,-4,11
12,10,Poli Iasi,3,2,5,10,15,-5,11
13,10,FCSB,2,4,4,11,14,-3,10
14,10,FC Botosani,3,1,6,9,17,-8,10
15,10,UTA Arad,1,6,3,7,11,-4,9
16,10,Gloria Buzau,1,4,5,10,20,-10,7
1,11,'U' Cluj,6,4,1,16,6,10,22
2,11,Univ. Craiova,5,4,2,19,10,9,19
